Date of Final Decision,Submission Number,Device,Company,Panel (Lead),Primary Product Code
12/8/23,K223757,Bonelogic,Disior Ltd,Radiology,LLZ
12/8/23,K231898,DTX Studio Clinic (4.0),Nobel Biocare AB,Radiology,LLZ
12/7/23,K232661,Myocardial Strain Software Application,Circle Cardiovascular Imaging,Radiology,LLZ
12/7/23,K232381,LOGIQ Totus,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
12/6/23,K233562,LINQ II Insertable Cardiac Monitor,"Medtronic, Inc.",Cardiovascular,MXD
12/6/23,K233334,Aquilion Serve SP (TSX-307B/1) V1.3,Canon Medical Systems Corporation,Radiology,JAK
12/5/23,K232440,Adravision Perio,Adra Corporation,Radiology,QIH
12/5/23,K233568,Ceevra Reveal 3+,"Ceevra, Inc.",Radiology,QIH
12/1/23,K232856,Syngo Carbon Clinicals,Siemens Healthcare GmbH,Radiology,QIH
11/30/23,K233545,EPIQ Series Diagnostic Ultrasound System,Philips Ultrasound LLC,Radiology,IYN
11/29/23,K230179,6440 MyLabX90,Esaote S.p.A.,Radiology,IYN
11/28/23,K232000,syngo.via MI Workflows; Scenium; syngo MBF,"Siemens Medical Solutions USA, Inc.",Radiology,QIH
11/28/23,K231631,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,JAK
11/27/23,K233243,ClearPoint System (Software Version 2.2),ClearPoint Neuro Inc.,Neurology,HAW
11/21/23,K232496,Brainomix 360 Triage Stroke,Brainomix Limited,Radiology,QAS
11/17/23,K232501,AI Platform (AIP001),Exo Inc,Radiology,QIH
11/15/23,K232841,Axial3D Insight,Axial Medical Printing Limited,Radiology,QIH
11/14/23,K232494,MAGNETOM Avanto fit; MAGNETOM Skyra fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
11/13/23,K232083,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
11/13/23,K232257,Clarius Bladder AI,Clarius Mobile Health Corp.,Radiology,QIH
11/9/23,K223754,BraveCX,Bering Ltd,Radiology,QFM
11/9/23,K231617,MAGNETOM Free.Max; MAGNETOM Free.Star,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
11/8/23,K230534,BriefCase-Quantification,"Aidoc Medical, Ltd.",Radiology,QIH
11/8/23,K231765,Contour ProtégéAI,MIM Software Inc.,Radiology,QKB
11/7/23,K231989,"LOGIQ E10s, LOGIQ Fortis","GE Medical Systems Ultrasound and Primary Care Diagnostic,",Radiology,IYN
11/7/23,K231966,LOGIQ E10,"GE Medical Systems Ultrasound and Primary care Diagnostics,",Radiology,IYN
11/6/23,K231470,Lunit INSIGHT DBT,Lunit Inc.,Radiology,QDQ
11/3/23,K231955,aprevo® Digital Segmentation,"Carlsmed, Inc.",Radiology,QIH
10/30/23,K232145,"ACUSON Sequoia Diagnostic Ultrasound System, ACUSON Sequoia Select Diagnostic Ultrasound System, ACUSON Origin Diagnostic Ultrasound System","Siemens Medical Solutions USA, Inc.",Radiology,IYN
10/30/23,K231965,"Voluson Expert 22, Voluson Expert 20, Voluson Expert 18","GE Medical Systems Ultrasound and Primary Care Diagnostics,",Radiology,IYN
10/30/23,K232751,BriefCase-Triage,"Aidoc Medical, Ltd.",Radiology,QAS
10/27/23,K230854,SwiftMR,AIRS Medical Inc.,Radiology,LLZ
10/27/23,K232045,MeVis Liver Suite,MeVis Medical Solutions AG,Radiology,JAK
10/26/23,K232500,Lumify Diagnostic Ultrasound System,Philips Ultrasound,Radiology,IYN
10/25/23,K230842,SignalHF (IM008),Implicity Inc.,Cardiovascular,QNL
10/25/23,K232436,Rapid SDH,"iSchemaView, Inc.",Radiology,QAS
10/23/23,K231764,Ultrasound System 1300,BK Medical Aps,Radiology,IYN
10/23/23,K231560,MAGNETOM Vida; MAGNETOM Lumina; MAGNETOM Aera; MAGNETOM Skyra; MAGNETOM Prisma; MAGNETOM Prisma fit,"Siemens Medical Solutions USA, Inc.",Radiology,LNH
10/23/23,K232305,AI-Rad Companion Brain MR,Siemens Medical Solutions U.S.A.,Radiology,QIH
10/20/23,K230209,Sonix Health,"Ontact Health Co., Ltd.",Radiology,QIH
10/13/23,K231642,Veuron-Brain-pAb3,"Heuron Co., Ltd.",Radiology,LLZ
10/13/23,K230370,SpotLight/SpotLight Duo (with DLIR option),Arineta Ltd.,Radiology,JAK
10/11/23,K230220,NeuViz 128 Multi-Slice CT Scanner System,"Neusoft Medical Systems Co., Ltd.",Radiology,JAK
10/6/23,K232760,Swoop® Portable MR Imaging System®,"Hyperfine, Inc.",Radiology,LNH
10/6/23,K232787,ScanNav Anatomy Peripheral Nerve Block,Intelligent Ultrasound Limited,Anesthesiology,QRG
10/6/23,K223905,Vivio® LVEDP System,"Avicena, LLC",Cardiovascular,QUO
10/6/23,K230144,Denti.AI Detect,"Denti.AI Technology, Inc.",Radiology,MYN
10/5/23,K231001,DeepTek CXR Analyzer v1.0,DeepTek Medical Imaging Pvt Ltd,Radiology,MYN
10/5/23,K232367,cmAngio® V1.0,"CureMetrix, Inc.",Radiology,QIH
